 	slice	peaks
1275	1275	17189
1276	1276	17199
1277	1277	17158
1278	1278	17188
1279	1279	17152
1280	1280	17131
1281	1281	17145
1282	1282	17098
1283	1283	17104
1284	1284	17101
1285	1285	17098
1286	1286	17075
1287	1287	17067
1288	1288	17072
1289	1289	17047
1290	1290	17050
1291	1291	17012
1292	1292	17031
1293	1293	17015
1294	1294	17031
1295	1295	16987
1296	1296	17018
1297	1297	17001
1298	1298	16988
1299	1299	16991
1300	1300	16993
1301	1301	16984
1302	1302	16936
1303	1303	16911
1304	1304	16907
1305	1305	16957
1306	1306	16936
1307	1307	16913
1308	1308	16911
1309	1309	16901
1310	1310	16900
1311	1311	16844
1312	1312	16853
1313	1313	16859
1314	1314	16824
1315	1315	16839
1316	1316	16823
1317	1317	16821
1318	1318	16810
1319	1319	16793
1320	1320	16813
1321	1321	16761
1322	1322	16764
1323	1323	16776
1324	1324	16759
1325	1325	16770
1326	1326	16762
1327	1327	16754
1328	1328	16728
1329	1329	16751
1330	1330	16717
1331	1331	16698
1332	1332	16684
1333	1333	16676
1334	1334	16704
1335	1335	16678
1336	1336	16666
1337	1337	16626
1338	1338	17213
1339	1339	16686
1340	1340	17213
1341	1341	17203
1342	1342	16644
1343	1343	16636
1344	1344	17170
1345	1345	17180
1346	1346	17149
1347	1347	17156
1348	1348	17123
1349	1349	17113
1350	1350	17128
1351	1351	17123
1352	1352	17120
1353	1353	17084
1354	1354	17094
1355	1355	17099
1356	1356	16523
1357	1357	17079
1358	1358	17075
1359	1359	17071
1360	1360	17048
1361	1361	17045
1362	1362	17041
1363	1363	17043
1364	1364	17017
1365	1365	17000
1366	1366	17013
1367	1367	16999
1368	1368	16969
1369	1369	16969
1370	1370	16971
1371	1371	16979
1372	1372	16988
1373	1373	16967
1374	1374	16957
1375	1375	16959
1376	1376	16960
1377	1377	16942
1378	1378	16948
1379	1379	16928
1380	1380	16945
1381	1381	16913
1382	1382	16907
1383	1383	16900
1384	1384	16899
1385	1385	16893
1386	1386	16862
1387	1387	16861
1388	1388	16852
1389	1389	16849
1390	1390	16847
1391	1391	16841
1392	1392	16843
1393	1393	16814
1394	1394	16819
1395	1395	16820
1396	1396	16808
1397	1397	16799
1398	1398	16805
1399	1399	16792
1400	1400	16754
1401	1401	16775
1402	1402	16756
1403	1403	16777
1404	1404	16781
1405	1405	16729
1406	1406	16739
1407	1407	16707
1408	1408	16728
1409	1409	16758
1410	1410	16727
1411	1411	16712
1412	1412	16709
1413	1413	16699
1414	1414	16677
1415	1415	16680
1416	1416	16656
1417	1417	16668
1418	1418	16674
1419	1419	16661
1420	1420	16677
1421	1421	16669
1422	1422	16634
1423	1423	16634
1424	1424	16603
1425	1425	16621
1426	1426	16609
1427	1427	16606
1428	1428	16588
1429	1429	16592
1430	1430	16585
1431	1431	16581
1432	1432	16578
1433	1433	16557
1434	1434	16541
1435	1435	16542
1436	1436	16541
1437	1437	16526
1438	1438	16528
1439	1439	16531
1440	1440	16542
1441	1441	16535
1442	1442	16525
1443	1443	16508
1444	1444	16528
1445	1445	16491
1446	1446	16495
1447	1447	16513
1448	1448	16472
1449	1449	16477
1450	1450	16452
1451	1451	16481
1452	1452	16462
1453	1453	16475
1454	1454	16477
1455	1455	16435
1456	1456	16441
1457	1457	16426
1458	1458	16437
1459	1459	16426
1460	1460	16434
1461	1461	16416
1462	1462	16407
1463	1463	16418
1464	1464	16393
1465	1465	16409
1466	1466	16390
1467	1467	16395
1468	1468	16367
1469	1469	16339
1470	1470	16343
1471	1471	16340
1472	1472	16332
1473	1473	16369
1474	1474	16332
1475	1475	16330
1476	1476	16351
1477	1477	16350
1478	1478	16340
1479	1479	16332
1480	1480	16332
1481	1481	16329
1482	1482	16292
1483	1483	16314
1484	1484	16295
1485	1485	16315
1486	1486	16309
1487	1487	16295
1488	1488	16265
1489	1489	16278
1490	1490	16282
1491	1491	16257
1492	1492	16262
1493	1493	16268
1494	1494	16236
1495	1495	16223
1496	1496	16230
1497	1497	16209
1498	1498	16223
1499	1499	16207
1500	1500	16226
1501	1501	16205
1502	1502	16213
1503	1503	16184
1504	1504	16186
1505	1505	16175
1506	1506	16205
1507	1507	16185
1508	1508	16165
1509	1509	16172
1510	1510	16157
1511	1511	16149
1512	1512	16153
1513	1513	16152
1514	1514	16181
1515	1515	16149
1516	1516	16154
1517	1517	16127
1518	1518	16135
1519	1519	16141
1520	1520	16118
1521	1521	16108
1522	1522	16107
1523	1523	16121
1524	1524	16149
1525	1525	16129
1526	1526	16099
1527	1527	16098
1528	1528	16065
1529	1529	16089
1530	1530	16080
1531	1531	16068
1532	1532	16069
1533	1533	16054
1534	1534	16048
1535	1535	16048
1536	1536	16041
1537	1537	16053
1538	1538	16062
1539	1539	16062
1540	1540	16055
1541	1541	16037
1542	1542	16055
1543	1543	16058
1544	1544	16023
1545	1545	16034
1546	1546	16039
1547	1547	16042
1548	1548	16009
1549	1549	16014
1550	1550	16003
1551	1551	15992
1552	1552	15996
1553	1553	15989
1554	1554	16007
1555	1555	16024
1556	1556	15985
1557	1557	16004
1558	1558	15970
1559	1559	15973
1560	1560	15979
1561	1561	15963
1562	1562	15940
1563	1563	15935
1564	1564	15965
1565	1565	15934
1566	1566	15954
1567	1567	15938
1568	1568	15931
1569	1569	15924
1570	1570	15919
1571	1571	15884
1572	1572	15895
1573	1573	15878
1574	1574	15890
1575	1575	15884
1576	1576	15880
1577	1577	15871
1578	1578	15889
1579	1579	15883
1580	1580	15847
1581	1581	15854
1582	1582	15842
1583	1583	15836
1584	1584	15870
1585	1585	15857
1586	1586	15858
1587	1587	15858
1588	1588	15855
1589	1589	15843
1590	1590	15819
1591	1591	15822
1592	1592	15823
1593	1593	15818
1594	1594	15807
1595	1595	15793
1596	1596	15797
1597	1597	15790
1598	1598	15803
1599	1599	15797
1600	1600	15771
1601	1601	15790
1602	1602	15785
1603	1603	15765
1604	1604	15771
1605	1605	15776
1606	1606	15775
1607	1607	15771
1608	1608	15759
1609	1609	15748
1610	1610	15758
1611	1611	15740
1612	1612	15770
1613	1613	15741
1614	1614	15731
1615	1615	15727
1616	1616	15736
1617	1617	15730
1618	1618	15739
1619	1619	15731
1620	1620	15722
1621	1621	15730
1622	1622	15710
1623	1623	15706
1624	1624	15707
1625	1625	15711
1626	1626	15696
1627	1627	15664
1628	1628	15670
1629	1629	15664
1630	1630	15688
1631	1631	15693
1632	1632	15681
1633	1633	15651
1634	1634	15651
1635	1635	15641
1636	1636	15665
1637	1637	15638
1638	1638	15641
1639	1639	15638
1640	1640	15629
1641	1641	15650
1642	1642	15630
1643	1643	15622
1644	1644	15633
1645	1645	15593
1646	1646	15619
1647	1647	15613
1648	1648	15588
1649	1649	15595
1650	1650	15580
1651	1651	15579
1652	1652	15567
1653	1653	15570
1654	1654	15562
1655	1655	15550
1656	1656	15543
1657	1657	15562
1658	1658	15560
1659	1659	15549
1660	1660	15555
1661	1661	15527
1662	1662	15546
1663	1663	15538
1664	1664	15506
1665	1665	15533
1666	1666	15516
1667	1667	15519
1668	1668	15511
1669	1669	15499
1670	1670	15489
1671	1671	15496
1672	1672	15471
1673	1673	15499
1674	1674	15491
1675	1675	15476
1676	1676	15478
1677	1677	15456
1678	1678	15481
1679	1679	15458
1680	1680	15472
1681	1681	15468
1682	1682	15436
1683	1683	15441
1684	1684	15450
1685	1685	15448
1686	1686	15440
1687	1687	15460
1688	1688	15426
1689	1689	15444
1690	1690	15442
1691	1691	15413
1692	1692	15430
1693	1693	15409
1694	1694	15417
1695	1695	15395
1696	1696	15395
1697	1697	15367
1698	1698	15390
1699	1699	15397
1700	1700	15404
1701	1701	15377
1702	1702	15370
1703	1703	15357
1704	1704	15357
1705	1705	15350
1706	1706	15337
1707	1707	15357
1708	1708	15346
1709	1709	15335
1710	1710	15321
1711	1711	15323
1712	1712	15363
1713	1713	15324
1714	1714	15321
1715	1715	15334
1716	1716	15313
1717	1717	15316
1718	1718	15318
1719	1719	15314
1720	1720	15319
1721	1721	15300
1722	1722	15300
1723	1723	15308
1724	1724	15273
1725	1725	15272
1726	1726	15264
1727	1727	15266
1728	1728	15268
1729	1729	15287
1730	1730	15256
1731	1731	15254
1732	1732	15288
1733	1733	15274
1734	1734	15264
1735	1735	15244
1736	1736	15257
1737	1737	15268
1738	1738	15258
1739	1739	15236
1740	1740	15246
1741	1741	15238
1742	1742	15218
1743	1743	15227
1744	1744	15249
1745	1745	15226
1746	1746	15226
1747	1747	15220
1748	1748	15215
1749	1749	15207
1750	1750	15192
1751	1751	15202
1752	1752	15185
1753	1753	15194
1754	1754	15213
1755	1755	15199
1756	1756	15204
1757	1757	15178
1758	1758	15187
1759	1759	15184
1760	1760	15174
1761	1761	15187
1762	1762	15184
1763	1763	15175
1764	1764	15180
1765	1765	15178
1766	1766	15164
1767	1767	15160
1768	1768	15162
1769	1769	15183
1770	1770	15176
1771	1771	15156
